"^2THR ^3Daniel ^s1 "6
-756.224 631.738 208.531 0
-755.88 646.233 209.059 0
-755.438 660.71 208.817 0
-754.765 675.213 209.344 0
-753.936 689.745 209.872 0
-752.985 704.266 209.707 0
-751.807 718.798 210.201 0
-750.409 733.344 210.674 0
-748.568 747.857 210.509 0
-746.745 762.379 211.025 0
-744.769 776.917 211.498 0
-742.519 791.422 211.432 0
-740.196 805.938 211.893 0
-737.415 820.368 211.586 0
-734.297 834.746 211.179 0
-730.814 848.997 211.388 0
-726.835 863.118 211.322 0
-721.85 876.891 210.553 0
-716.395 890.428 210.092 0
-710.116 903.546 208.96 0
-703.116 916.198 207.949 0
-695.219 928.277 206.971 0
-686.493 939.669 206.093 0
-677.116 950.402 204.917 0
-666.87 960.228 203.752 0
-656.054 969.273 202.753 0
-644.466 977.168 201.138 0
-632.379 983.95 198.479 0
-619.941 989.82 197.82 0
-606.993 994.22 196.381 0
-593.894 997.978 196.348 0
-580.545 1000.65 195.952 0
-567.07 1002.64 196.106 0
-553.513 1004.02 196.447 0
-539.904 1005.13 196.875 0
-526.224 1005.76 197.666 0
-512.461 1006.79 198.644 0
-498.678 1007.6 199.347 0
-484.868 1008.66 199.49 0
-471.099 1010.3 199.973 0
-457.647 1012.96 195.996 0
-444.979 1016.4 184.9 0
-433.24 1020.72 176.111 0
-422.33 1025.37 165.751 0
-412.503 1031.09 160.631 0
-403.405 1037.1 153.358 0
-395.206 1043.3 143.448 0
-387.479 1048.98 132.935 0
-379.946 1053.7 123.959 0
-372.559 1057.61 115.884 0
-365.391 1060.56 107.644 0
-358.548 1062.71 98.844 0
-351.844 1063.65 94.5703 0
-345.237 1063.57 92.8455 0
-338.882 1062.53 92.2302 0
-332.504 1061.05 94.6582 0
-326.362 1058.79 94.4055 0
-320.715 1055.61 92.6807 0
-315.721 1051.76 89.7693 0
-311.548 1047.3 86.9897 0
-308.211 1042.35 85.6274 0
-305.762 1036.93 86.9678 0
-303.946 1031.08 89.5935 0
-303.524 1024.79 91.8787 0
-304.038 1018.39 94.054 0
-305.343 1011.93 96.0754 0
-308.219 1005.77 98.9978 0
-311.717 999.77 101.777 0
-315.909 993.931 105.348 0
-320.724 988.279 108.468 0
-326.271 983.03 111.753 0
-332.34 978.032 115.005 0
-338.831 973.196 118.213 0
-345.602 968.435 120.201 0
-352.581 963.456 123.519 0
-359.768 958.471 126.222 0
-367.14 953.525 129.166 0
-374.801 948.673 132.122 0
-382.772 943.938 135.011 0
-390.775 938.993 137.439 0
-399.209 934.333 140.186 0
-407.905 929.761 142.91 0
-416.465 924.865 144.009 0
-425.486 920.255 146.733 0
-434.673 915.735 148.293 0
-444.05 911.299 150.546 0
-453.676 907.033 152.743 0
-463.294 902.516 154.589 0
-473.208 898.229 156.632 0
-483.073 893.622 158.302 0
-492.982 888.795 160.005 0
-502.915 883.671 161.927 0
-512.578 877.935 163.202 0
-521.961 871.617 164.092 0
-531.109 864.746 165.355 0
-539.752 857.143 166.41 0
-548.261 849.337 167.607 0
-556.237 840.821 168.541 0
-563.837 831.858 170.145 0
-571.023 822.43 171.277 0
-577.585 812.468 172.463 0
-584.355 802.613 173.43 0
-590.19 792.049 174.265 0
-595.77 781.281 174.606 0
-600.65 770.155 175.507 0
-604.897 758.715 176.067 0
-608.551 746.997 177.55 0
-611.633 735.039 178.341 0
-613.876 722.835 179.297 0
-616.081 710.589 180.022 0
-617.05 698.115 180.692 0
-617.245 685.562 181.121 0
-616.457 673.009 181.747 0
-614.814 660.471 182.769 0
-612.452 647.991 183.252 0
-609.187 635.663 184.285 0
-605.251 623.469 184.966 0
-600.858 611.364 186.273 0
-595.831 599.418 187.163 0
