"^1[GRT] ^3Wheldon ^9^s2 "70
-555.358 21.6136 178.605 0
-563.511 31.0192 179.956 0
-571.435 40.7368 181.318 0
-578.825 50.9355 182.087 0
-585.773 61.5152 182.867 0
-592.313 72.44 184.01 0
-598.877 83.4641 185.229 0
-605.181 94.7288 186.647 0
-611.777 105.91 187.57 0
-618.06 117.376 188.965 0
-624.175 129.039 190.382 0
-630.619 140.603 191.305 0
-636.552 152.539 192.623 0
-642.396 164.577 193.414 -1
-647.792 176.915 194.238 0
-653.066 189.349 195.029 0
-658.337 201.852 195.48 0
-663.591 214.406 196.436 0
-668.736 227.072 197.314 0
-673.907 239.792 198.171 0
-679.83 252.209 198.479 0
-685.296 264.879 199.138 0
-690.723 277.623 199.863 0
-696.022 290.44 200.182 0
-701.085 303.41 200.863 0
-706.047 316.453 201.259 0
-710.691 329.653 201.764 0
-715.015 342.969 201.907 0
-719.081 356.417 202.379 0
-722.814 369.985 202.961 0
-726.221 383.684 203.621 0
-729.414 397.482 204.291 0
-733.757 411.021 204.565 0
-737.035 424.839 204.818 0
-739.905 438.786 205.334 0
-742.425 452.841 205.928 0
-745.711 466.755 205.763 0
-748.111 480.858 206.235 0
-750.05 495.064 206.752 0
-751.67 509.348 207.301 0
-754.453 523.533 207.62 0
-755.932 537.878 207.773 0
-756.717 552.291 208.026 0
-757.986 566.669 208.059 0
-758.285 581.124 208.4 0
-758.926 595.629 208.674 0
-758.984 610.132 209.081 0
-758.726 624.665 209.586 0
-759.06 639.235 209.542 0
-758.491 653.786 209.916 0
-758.212 668.407 209.883 0
-757.538 683.023 210.487 0
-756.61 697.596 210.3 0
-755.217 712.146 210.674 0
-754.195 726.818 210.454 0
-752.545 741.341 210.663 0
-750.686 755.869 211.168 0
-749.793 770.738 211.476 0
-747.991 785.29 210.784 0
-745.949 799.96 211.805 0
-743.265 814.378 210.575 0
-740.433 828.931 211.421 0
-736.813 843.117 210.366 0
-733.007 857.419 210.927 0
-728.296 871.221 209.454 0
-723.133 885.049 210.718 0
-717.209 898.365 209.443 0
-710.381 911.216 208.718 0
-702.611 923.404 207.257 0
-694.134 934.973 206.093 0
-684.687 945.708 205.027 0
-674.644 955.723 203.939 0
-663.753 964.743 203.06 0
-652.395 973.022 202.115 0
-640.407 980.237 201.083 0
-628.029 986.608 200.182 0
-615.161 991.627 198.677 0
-601.997 995.657 197.864 0
-588.666 998.986 198.018 0
-575.122 1001.37 197.655 0
-561.485 1003.13 197.941 0
-547.784 1004.31 198.248 0
-534.01 1005.29 199.017 0
-520.199 1006.34 199.688 0
-506.342 1007.5 200.533 0
-492.753 1008.58 191.821 0
-480.068 1009.58 177.451 0
-468.264 1010.72 165.399 0
-457.261 1012.46 156.401 0
-446.77 1015.16 154.698 0
-436.714 1018.9 154.127 0
-426.983 1023.41 154.962 0
-417.502 1028.56 155.775 0
-408.077 1033.99 157.083 0
-399.081 1039.69 151.029 0
-390.916 1045.15 137.252 0
-383.575 1050.36 123.849 0
-376.848 1054.88 111.127 0
-370.382 1058.39 100.602 0
-364.138 1060.92 91.3403 0
-358.007 1062.5 88.1763 0
-351.784 1063.27 89.0881 0
-345.682 1063.2 88.5718 0
-339.486 1062.57 90.3296 0
-333.463 1061.21 88.1433 0
-327.83 1058.83 87.7698 0
-322.543 1055.74 88.4399 0
-317.719 1051.93 88.363 0
-313.561 1047.51 87.4622 0
-310.091 1042.52 87.7917 0
-307.337 1037.07 88.0664 0
-305.421 1031.31 87.0886 0
-304.451 1025.37 86.3965 0
-304.506 1019.35 87.0776 0
-305.53 1013.38 87.9895 0
-307.428 1007.51 90.2527 0
-310.099 1001.71 93.9441 0
-313.438 995.984 97.4377 0
-317.489 990.426 100.69 0
-322.194 985.118 104.117 0
-327.404 979.942 107.523 0
-333.087 974.918 110.929 0
-339.176 970.035 114.192 0
-345.561 965.176 117.345 0
-352.342 960.472 120.366 0
-359.514 956.025 122.421 0
-367.005 951.647 126.266 0
-374.682 947.254 128.958 0
-382.539 942.764 131.649 0
-390.552 938.178 134.308 0
-398.734 933.544 137.01 0
-407.099 928.878 139.395 0
-415.721 924.298 141.855 0
-424.61 919.864 144.207 0
-433.723 915.515 146.646 0
-443.048 911.336 147.448 0
-452.587 907.206 150.59 0
-462.287 903.141 152.622 0
-472.11 898.994 154.512 0
